Study ID,Focal node,Focal node mean body size,Focal node mean body size SD,Focal node minimum size,Focal node maximum size,Body size type,Body size units,Focal node stage,Interaction,Interaction habitat type,Target node,Target node mean body size,Target node minimum body size,Target node maximum body size,Target node body size units,Target node body part,Target node stage,Study type,Observation type,Lat,Long,Location,Sample size (for specific observation set),Reference,Recorder
20,Carcinus maenas,48.3,,,,carapace width,mm,adult,predation,salt marsh creek bank,Sesarma reticulatum,20.3,,,mm,,adult,experimental,field,.,.,"Cape Cod, MA",,Bertness and Coverdale 2013 Ecology,SS
20,Carcinus maenas,48.4,,,,carapace width,mm,adult,competition (burrow),salt marsh creek bank,Sesarma reticulatum,21.3,,,mm,,adult,experimental,field,.,.,"Cape Cod, MA",20,Bertness and Coverdale 2013 Ecology,SS
,Carcinus maenas,,,35,75,carapace width,mm,juvenile,predation,laboratory,Geukensia demissa,,,50,mm,,juvenile,experimental,laboratory,.,.,New Jersey,.,MacDonald et al. 2007,SS
,Carcinus maenas,,,35,75,carapace width,mm,juvenile,predation,laboratory,Menidia menidia,,,50,mm,,juvenile,experimental,laboratory,.,.,New Jersey,.,MacDonald et al. 2007,SS
,Carcinus maenas,,,35,75,carapace width,mm,juvenile,competition (food),laboratory,Hemigrapsus sanguineus,,18,35,mm,,juvenile,experimental,laboratory,.,.,New Jersey,.,MacDonald et al. 2007,SS
,Carcinus maenas,,,35,75,carapace width,mm,juvenile,competition (food),laboratory,Callinectes sapidus,,25,85,mm,,juvenile,experimental,laboratory,.,.,New Jersey,.,MacDonald et al. 2007,SS
,Hemigrapsus sanguineus,,,18,35,carapace width,mm,juvenile,predation,laboratory,Geukensia demissa,,,50,mm,,juvenile,experimental,laboratory,.,.,New Jersey,.,MacDonald et al. 2007,SS
,Hemigrapsus sanguineus,,,18,35,carapace width,mm,juvenile,predation,laboratory,Menidia menidia,,,50,mm,,juvenile,experimental,laboratory,.,.,New Jersey,.,MacDonald et al. 2007,SS
,Hemigrapsus sanguineus,,,18,35,carapace width,mm,juvenile,competition (food),laboratory,Callinectes sapidus,,25,85,mm,,juvenile,experimental,laboratory,.,.,New Jersey,.,MacDonald et al. 2007,SS
,Callinectes sapidus,,,25,85,carapace width,mm,juvenile,predation,laboratory,Geukensia demissa,,,50,mm,,juvenile,experimental,laboratory,.,.,New Jersey,.,MacDonald et al. 2007,SS
,Callinectes sapidus,,,25,85,carapace width,mm,juvenile,predation,laboratory,Menidia menidia,,,50,mm,,juvenile,experimental,laboratory,.,.,New Jersey,.,MacDonald et al. 2007,SS
67,Callinectes sapidus,NA,NA,NA,NA,NA,NA,NA,predation,salt marsh,Geukensia demissa,50,NA,NA,mm,whole,NA,observation,field,41.723559,-71.298026,"Smith Cove, Barrington, Rhode Island",NA,Bertness and Grosholz 1985,SS
67,Anus platyrhychos,NA,NA,NA,NA,NA,NA,NA,predation,salt marsh,Geukensia demissa,50,NA,NA,mm,whole,NA,observation,field,41.723559,-71.298026,"Smith Cove, Barrington, Rhode Island",NA,Bertness and Grosholz 1985,SS
67,Larus argentatus,NA,NA,NA,NA,NA,NA,NA,predation,salt marsh,Geukensia demissa,50,NA,NA,mm,whole,NA,observation,field,41.723559,-71.298026,"Smith Cove, Barrington, Rhode Island",NA,Bertness and Grosholz 1985,SS
67,Corvus brachyrhynchos,NA,NA,NA,NA,NA,NA,NA,predation,salt marsh,Geukensia demissa,50,NA,NA,mm,whole,NA,observation,field,41.723559,-71.298026,"Smith Cove, Barrington, Rhode Island",NA,Bertness and Grosholz 1985,SS
67,Geukensia demissa,NA,NA,NA,NA,NA,NA,adult,predation,salt marsh,plankton,NA,NA,NA,NA,NA,NA,observation,field,41.723559,-71.298026,"Smith Cove, Barrington, Rhode Island",NA,Bertness and Grosholz 1985,SS
