Location?,Interaction?,Use?,Completed?,Study ID,Search Term,Authors,Title,SO,SE,BS,VL,IS,SI,MA,BP,EP,AR,DI,D2,SU,PD,PY,AB,X4,Y4,Z4,CT,CY,SP,CL,TC,Z8,ZB,ZS,Z9,SN,BN,UT,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Stout, Josh; Taghon, Gary",Compensatory partitioning of carbon budgets by the grass shrimp (Palaemonetes pugio) and implications for predator prey relationships,CENTRAL EUROPEAN JOURNAL OF BIOLOGY,,,9,1,,,19,27,,10.2478/s11535-013-0177-2,,,1/14/14,2014,,,,,,,,,0,0,0,0,0,1895-104X; 1644-3632,,WOS:000325824400003,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,No,Yes,,Fundulus heteroclitus,"Dibble, Kimberly L.; Pooler, Penelope S.; Meyerson, Laura A.",Impacts of plant invasions can be reversed through restoration: a regional meta-analysis of faunal communities,BIOLOGICAL INVASIONS,,,15,8,,,1725,1737,,10.1007/s10530-012-0404-9,,,8/13/14,2013,,,,,,,,,0,0,0,0,0,1387-3547,,WOS:000321264300008,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Dijkstra, Jennifer A.; Buckman, Kate L.; Ward, Darren; Evans, David W.; Dionne, Michele; Chen, Celia Y.",Experimental and Natural Warming Elevates Mercury Concentrations in Estuarine Fish,PLOS ONE,,,8,3,,,,,e58401,10.1371/journal.pone.0058401,,,3/12/13,2013,,,,,,,,,1,0,1,0,1,1932-6203,,WOS:000316252500024,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Lockfield, Konner C.; Fleeger, John W.; Deegan, Linda A.","Mummichog Fundulus heteroclitus responses to long-term, whole-ecosystem nutrient enrichment",MARINE ECOLOGY PROGRESS SERIES,,,492,,,,211,222,,10.3354/meps10495,,,2013,2013,,,,,,,,,0,0,0,0,0,0171-8630; 1616-1599,,WOS:000326439800016,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Dibble, Kimberly L.; Meyerson, Laura A.",Tidal Flushing Restores the Physiological Condition of Fish Residing in Degraded Salt Marshes,PLOS ONE,,,7,9,,,,,e46161,10.1371/journal.pone.0046161,,,9/27/12,2012,,,,,,,,,2,0,2,0,2,1932-6203,,WOS:000309517500067,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Eberhardt, Alyson L.; Burdick, David M.; Dionne, Michele",The Effects of Road Culverts on Nekton in New England Salt Marshes: Implications for Tidal Restoration,RESTORATION ECOLOGY,,,19,6,,,776,785,,10.1111/j.1526-100X.2010.00721.x,,,11/11/14,2011,,,,,,,,,5,0,5,0,5,1061-2971,,WOS:000297078600014,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,Yes,Yes,Yes,2,Fundulus heteroclitus,"Goto, Daisuke; Wallace, William G.",Altered feeding habits and strategies of a benthic forage fish (Fundulus heteroclitus) in chronically polluted tidal salt marshes,MARINE ENVIRONMENTAL RESEARCH,,,72,1/2/14,,,75,88,,10.1016/j.marenvres.2011.06.002,,,7/11/14,2011,,,,,,,,,0,1,0,0,1,0141-1136,,WOS:000295349300011,,,,,,,,,,,,,,,,,,,,,,,,,,
No,No,No,Yes,,Fundulus heteroclitus,"Goto, Daisuke; Wallace, William G.",Metal intracellular partitioning as a detoxification mechanism for mummichogs (Fundulus heteroclitus) living in metal-polluted salt marshes,MARINE ENVIRONMENTAL RESEARCH,,,69,3,,,163,171,,10.1016/j.marenvres.2009.09.008,,,4/10/14,2010,,,,,,,,,12,0,12,0,12,0141-1136,,WOS:000275141600008,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Reichmuth, Jessica M.; Weis, Peddrick; Weis, Judith S.",Bioaccumulation and depuration of metals in blue crabs (Callinectes sapidus Rathbun) from a contaminated and clean estuary,ENVIRONMENTAL POLLUTION,,,158,2,,,361,368,,10.1016/j.envpol.2009.09.009,,,2/10/14,2010,,,,,,,,,10,0,8,1,10,0269-7491,,WOS:000274321600003,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Goto, Daisuke; Wallace, William G.","Biodiversity loss in benthic macroinfaunal communities and its consequence for organic mercury trophic availability to benthivorous predators in the lower Hudson River estuary, USA",MARINE POLLUTION BULLETIN,,,58,12,,,1909,1915,,10.1016/j.marpolbul.2009.09.032,,,12/9/14,2009,,,,,,,,,4,0,4,1,4,0025-326X,,WOS:000273104200029,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Johnson, David Samuel; Fleeger, John W.",Weak response of saltmarsh infauna to ecosystem-wide nutrient enrichment and fish predator reduction: A four-year study,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,373,1,,,35,44,,10.1016/j.jembe.2009.03.003,,,5/15/09,2009,,,,,,,,,8,0,8,0,8,0022-0981,,WOS:000266256200005,,,,,,,,,,,,,,,,,,,,,,,,,,
Yes,No,No,Yes,,Fundulus heteroclitus,"Haney, Robert A.; Dionne, Michelle; Puritz, Jon; Rand, David M.",The Comparative Phylogeography of East Coast Estuarine Fishes in Formerly Glaciated Sites: Persistence versus Recolonization in Cyprinodon variegatus ovinus and Fundulus heteroclitus macrolepidotus,JOURNAL OF HEREDITY,,,100,3,,,284,296,,10.1093/jhered/esn107,,,MAY-JUN 2009,2009,,,,,,,,,9,0,9,0,9,0022-1503,,WOS:000265272200002,,,,,,,,,,,,,,,,,,,,,,,,,,
